unit	doc_id	source	page	signals	snippet
bio-dimensions	01	2024:biology course  first 5 lectures 4/2024:biology course  first 5 lectures 4.md	4	2	*The Plausibility of Life Resolving Darwin's Dilemma* by Marc W. Kirschner and John C. Gerhart.  *Cell Biology
bio-dimensions	01	2024:biology course  first 5 lectures 4/2024:biology course  first 5 lectures 4.md	6	3	are too complicated for that.  The same applies to  *information processing, which makes the animal cognition,
bio-dimensions	01	2024:biology course  first 5 lectures 4/2024:biology course  first 5 lectures 4.md	7	2	**Adenine, Thymine Cytosine, Guanine, a phosphate group and a sugar molecule *Deoxyribose*, 50-60 atoms in a n
bio-dimensions	01	2024:biology course  first 5 lectures 4/2024:biology course  first 5 lectures 4.md	19	3	What are the major evolutionary innovations? Evolutionary innovations—the bony skeleton of vertebrates, avian 
bio-dimensions	01	2024:biology course  first 5 lectures 4/2024:biology course  first 5 lectures 4.md	35	2	which are bare of cycles:  ![](_page_34_Diagram_17.jpeg)  Figure 26: trees  ![](_page_34_Diagram_19.jpeg)  Fig
bio-dimensions	01	2024:biology course  first 5 lectures 4/2024:biology course  first 5 lectures 4.md	37	2	# THE SIMPSONS  ![](_page_36_Diagram_7.jpeg)  ![](_page_36_Diagram_8.jpeg)  Most beautiful for a mathematician
bio-dimensions	02	Mendelian Dynamics and Sturtevant's Paradigm /Mendelian Dynamics and Sturtevant's Paradigm .md	4	2	(e) Our exposition is too short for what it stands for— one of the most intellectually innovative step ever ma
bio-dimensions	02	Mendelian Dynamics and Sturtevant's Paradigm /Mendelian Dynamics and Sturtevant's Paradigm .md	10	3	to an  $\mathbf{a}(x_l)$  amounts to equating all  $x_l$  in  $\mathbf{a}$  with  $l \in L - K$  to zero.) Sin
bio-dimensions	02	Mendelian Dynamics and Sturtevant's Paradigm /Mendelian Dynamics and Sturtevant's Paradigm .md	13	5	the corresponding allele (also probability) distributions at the loci  $l \in L$  are denoted by  $\mathbf{a}_
bio-dimensions	03	Protein Spaces/Protein Spaces.md	1	3	# Protein Spaces  Misha Gromov  September 26, 2019  This is an annotated extract from my 2019 course at CIMS c
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	5	2	| 2.4                                      | Concentration for maps to Metric Spaces of Dimension $> 1$       
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	7	2	**Exponential Tail Bound.** There is a sharper bound on this  $A_N = \frac{1}{N} \sum_i f_i$ ,  $$\text{Prob}\
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	10	2	*Exercise.* Figure out how much of the mass of the unit  $N$ -dimensional cube  $[0, 1]^N$  is concentrated ne
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	12	2	And a reliably registering of this amount of information needs *only* a few billion memory locations.  **KMM.*
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	13	3	1. Add the contents  $m_r = m(\phi_r), \phi_r \in \Phi_r = \Phi$ , of the counters  $\phi_r$  for those  $r \i
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	19	2	[ $\circ_\rho$ ] *Spherical Geodesic Balls.* Let us even rougher evaluate the spherical volumes of geodesic ba
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	22	2	*Diameter*  $$\text{diam}(X) = \sup_{x,y \in X} \text{dist}(x,y),$$  *Inradius:*  $$\text{inrad}(X) = \sup_{x
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	23	2	An equivalent way to put is by saying that the norm the scalar product on the space of linear functions  $l : 
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	26	2	These are the spaces  $BS^{NN} \subset \mathbb{R}^{N^2}$  of *bistochastic matrices* that are *convex hulls of
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	30	4	(Nothing of the above tells you, for instance, that the volume of  $\text{conv}\{x_1, \dots, x_k\}$ , where  $
bio-dimensions	04	large dimensions 14dec 2108/large dimensions 14dec 2108.md	33	2	What are measure preserving maps, preferably simple and natural ones, between simple spaces with simple measur
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	2	3	![](_page_1_Picture_13.jpeg)  | <b>10 Elliptic Wings and Parabolic Flows.</b> | <b>54</b> | |-----------------
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	6	6	For all we know the *Serre dilation constant const*<sub>S</sub>(n, N) may be bounded for n → ∞ and, say, for 1
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	13	3	- •  $C_{sing}$  is a closed subset of dimension  $\leq i - 2$ . - •  $C_{reg}$  is an open and dense subset i
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	14	2	*On Genericity.* We have not used any genericity so far except for the definition of dimension. But from now o
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	16	4	in  $f^{-1}(y_1) \subset \tilde{U}_{y_1} \subset X$  with  $\mp 1$ -points in  $f^{-1}(y_2) \subset \tilde{U}_
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	17	5	is a *not* a manifold one may adjust the definition of cycles to the local topology of the singular part of  $
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	19	2	(If  $n = \dim(B)$  is odd, then  $\sum_{i=0,1,\dots,n} \text{rank}(H_i(B; \mathbb{Q})) = 0$  by the Poincaré 
