severity	note	unit	doc_id	cited_page	quote_key	matched	quote_at_divergence	source_at_divergence
INVENTED	appended 'is the optimal map'	bio-dimensions	04	36	itremainsunclearifourA:S2N1→▲istheoptimalmap,inthesensethati	29/45	itremainsunclearifourA:S2N1→▲istheoptimalmap,	titremainsunclearifourA:S2N1→▲Onedoesn'thavetogotothesphere:therelativevolumeestimatesoneneedsisasea
INVENTED	source breaks after 'celebrating'	cognition-a	01	38	Yet,notallroutesweexploredhadleadustothepromisedland;underst	68/80	tworkmaybemoreinstructivethancelebratingoursuccesses	moreinstructivethancelebratingMathematicsisthelastbornchildofergobrainandamathematicianisanergobrain
INVENTED	source breaks after 'this is why we'	cognition-a	01	51	Alinguistwoulddismisssuchdefinitionswithdisgust,butifyouarea	25/57	Paradoxically,thisiswhywewouldratherrejectthanacceptthem:	mind.Paradoxically,thisiswhyweAmiraculousadvanceinquantumcomputingoranequallymiraculousdiscoveryinma
INVENTED	source breaks after 'but where'	cognition-a	01	68	Weshallnotattempttoapproachanyrealisticlearningproblemand/or	78/149	ndmayuseacomputertoanalysesthesebutwhereonehasnotevenawhiffofknowledgeofthesemanticandthefunctionoft	omputertoanalysesthesebutwhereWhatweknowofthestructure/messagecarriedby[Out]ismainlymanifestedbythe(
INVENTED	quote not on the cited page	cognition-b	01	10	These(large)domainsDareidentifiedinparallelwith(short)signif	1/60	○AsegmentSisoperationallysignificantifthestringcontainedinit	HESBETWEENGENOMESANDLANGUAGES○ThereisasinglegenomelanguageofcellularLifeonEarthdividedintomultitudeo
INVENTED	breaks at 'convince people of'	cognition-b	03	49	Itisformyths,notforscience,toexplaintheworldandlifeanditisup	35/43	notforscientists,toconvincepeopleofanything	rscientists,toconvincepeopleofMaupertuisidentifiedcertainquantity,calledactionA=A(motion),suchthatam
INVENTED	breaks at 'potentially an'	cognition-b	03	58	Inordertoprogress,insteadofinventingmoreandmore'intelligent'	67/84	ly'seeourselvesandstartwithpotentiallyanswerablequestions	elvesandstartwithpotentiallyanAsonetriestoanalyzeapositionmanymovesahead,oneisgettingoverwhelmedbyth
INVENTED	breaks at 'no reinforcement'	cognition-b	04	18	Theabilityofnativelearningsystemstofunctionwithnopurpose,noi	29/53	noinstruction,noreinforcementisnomoreparadoxicalthan,	,noinstruction,noreinforcementTheeloquentape:genes,brainsandtheevolutionoflanguage,Fisher&Marcus[15]
INVENTED	breaks at 'kindergarten explanations'	cognition-b	04	45	Showmeantthisasamockery,butscienceisanartofnotunderstanding.	68/73	notsatisfiedwithkindergartenexplanationslike:	edwithkindergartenexplanationsWithouthimonthescene,theworldhistorywouldbeshiftedbyafewyearsbackwarda
INVENTED	breaks at 'N&T'; also N&T rendered NET	cognition-b	05	32	Withnodirectaccesstounderstandinginthemindofanintelligentent	27/122	wetrytoguessthestructureofNETtheimaginarynetworkofpatternsofunderstandingbylookingathow	on,wetrytoguessthestructureofN&TtheMarilynFerguson(19382008)wasanAmericanauthor,editorandpublicspeak
SYMBOL	arrow ⇝ where source has ∼	bio-dimensions	06	25	Thisproblemcanbedividedintoseveralparts1.1.Determinethedomai	41/140	.Determinethedomainofdefinitionofthemap'⇝'byfindingarealistic(mathematical)descriptionofthesubsetGof	thedomainofdefinitionofthemap'∼'byfindingarealistic(mathematical)descriptionofthesubsetGofsequencesw
SYMBOL	arrow ⇝ where source has ∼	cognition-b	03	55	Whatisessentialinbiologyfromamathematician'sperspectiveisthe	118/125	promoteourunderstandingofthearrow[brain]⇝[mind]	understandingofthearrow[brain]∼[mind].Theideaof'reality'isinseparablefrom'mind':Cogitoergosum.Whatdo
SYMBOL	|tau|_g where source has |cdot|_g	curvature-hopf	03	21	Thereisnothingsacredinthequadraticnatureof|τ|g.Onecouldstart	43/47	reisnothingsacredinthequadraticnatureof|τ|g.	gsacredinthequadraticnatureof|·|g.Onecouldstartwithanarbitrarycontinuousfamilyof(nonEuclidean)norms|
REPAIRED	OCR lost exponents; reader restored 10^9 / 10^100	bio-dimensions	01	23	Butwemustknow,wewillknow.NO:wecan'trealistically(inthespanof	116/151	nyourlaptopcomputerwillterminatewithin109yearsandwhichwillrunfor10100years,	pcomputerwillterminatewithin10yearsandwhichwillrunfor10years,norcanwe,ingeneral,recoversuchaprogramf
REPAIRED	OCR lost the subscript; reader restored A_eps	curvature-hopf	03	67	LetusseewhathappensifwetakethetracesoftheoperatorsAεandBinth	51/72	thappensifwetakethetracesoftheoperatorsAεandBinthetubeformula	wetakethetracesoftheoperatorsAandBinthetubeformula.First,thetraceofAisthesameasthetraceofΠWrelativet
ELISION	unmarked elision of a defining clause	bio-dimensions	04	45	don'tgetdepressedbyyournonunderstandingofthephysical/chemica	42/49	rectyourthinkingofproteinstowardasubsetP⊂20300,	inkingofproteinstowardasubsetPinthesetofallsequencesoflength300in20symbols,P⊂20300,trytodefinewhatth
ELISION	unmarked elision of '2^9='	cognition-a	01	125	justimaginehowlongitwouldtaketosingleoutany'interesting'bina	6/32	outof2512>10150(!)possibilities.	nninevariables,ψ:□,9→□,,outof29=2512>10150(!)possibilities.Apparently,human(ergo)brainisabletomakesu
ELISION	dropped 'lea' from the arrow label	cognition-a	02	100	WedonotevendreamofdirectlywritingdownsuchaprogramsPro,butwes	103/107	delofababy'sergobrain)whichtransformLbr↦Pro,	'sergobrain)whichtransformLbr↦leaPro,i.e.buildsProonthebasisofagivenlibraryLbr.PredictionEvaluationT
ELISION	dropped the ?1 / ?2 footnote markers	cognition-b	03	62	AndwebelievethatthefundamentalquestionsaboutNaturecannotbefo	55/140	eofthetwoarrowsSPACE/TIME/MATTER/ENERGY⇝LIFE/BRAINandLIFE/BRAIN⇝MIND/THOUGHTcannotbecomprehendedbuti	rrowsSPACE/TIME/MATTER/ENERGY⇝?1LIFE/BRAINandLIFE/BRAIN⇝?2MIND/THOUGHTcannotbecomprehendedbutintheam
MINOR	dropped a '[24]' reference marker	bio-dimensions	06	6	Crystals(andmoregeneral'spatiallycorrelatedpatterns')havebee	52/265	moregeneral'spatiallycorrelatedpatterns')havebeenmuchstudiedbyphysicistsbutIdoubtthatacomprehensivep	l'spatiallycorrelatedpatterns'[24])havebeenmuchstudiedbyphysicistsbutIdoubtthatacomprehensivepurelym
MINOR	prose matches; later clause differs	cognition-a	02	9	Thereaderbrowsingthroughtherangesofmathematicswouldbetterski	25/25	Yet,nothingcanmakeiteasy.	nman.Yet,nothingcanmakeiteasy.Ifitfeelslightyouarebuildingyourmentalmuscleswithemptyplasticdumbbells
MINOR	dropped a '[45]' reference marker	cognition-a	02	105	IsthereanaturalclusterizationofX?HowmuchdoesX(L)change(withr	120/264	etricinthecategoryofmetric+measurespaces)whenyouchangethelibrary?Dodifferentlanguageshavesignificant	categoryofmetric+measurespaces[45])whenyouchangethelibrary?Dodifferentlanguageshavesignificantlydiff
MINOR	stray ')' after an OCR music glyph	cognition-b	05	18	define/describesomeclass(orclasses)ofsignalflowsandclass(cla	4/39	♪SIG)andresultsin'moreeducated'networks	AMOFTIME...BERTRANDRUSSELL♪SIGWhenwesay'understanding'wemean'understandingsomething'.Wecallthesesome
MINOR	prime vs apostrophe	cognition-b	05	45	thecolorsofNETmustbearrangedinacolorednetworkoftheirown,sayN	43/47	n,withacaution,weproceedtosomekindofNET'and,	tion,weproceedtosomekindofNET''and,bearinginmindtheinconsistencyandinfiniteregressproblemsassociated
MINOR	source has a stray '()' from OCR	curvature-hopf	03	55	ItseemsthatoncetheC1structureofthesingularitiesiscompletelyu	108/109	dtheC2refinementwillfollowbymereanalysis.	nementwillfollowbymereanalysis().Ontheotherhandonewouldneedanewgeometricideainordertoprovethatthendi
